Nazev;Autor;Spoluautori;DruhPublikace;Deponovano;SystemoveCislo;EvidencniCisloFEL;EvidencniCisloOddeleni;CarovyKod;PocetStran;Vydani;RokVydani;Vydavatel;ZemeVydani;ISBNorISSN;CisloCasopisu;RocnikCasopisu;Konference;Cena;KlicovaSlova;Poznamka;Vlozeno;ZapujcenoKomu;ZapujcenoOd;ZapujcenoDo;FormType;IntStatus;Extra3;Extra4;Extra5;StsCheck;StsUK;
Minimal Problem Solver Generator;Trutman, Pavel;;Bach.Th.;Katedra;;;BT-2015-0030;;42;1;2015;ČVUT Praha - FEL;ČR;;;;;;;vč. CD;;VOLNÁ;;;;;;;;;;
Smooth Trajectory Generation in 2D;Niedoba, Lukáš;;Bach.Th.;Katedra;;;BT-2015-0031;;36;1;2015;ČVUT Praha - FEL;ČR;;;;;;;vč. CD;;VOLNÁ;;;;;;;;;;
Relatively Stabilized Unmanned Helicopters Led by Dynamic Virtual Leader;Heřt, Daniel;;Bach.Th.;Katedra;;;BT-2015-0032;;36;1;2015;ČVUT Praha - FEL;ČR;;;;;;;vč. CD;;SASKA, MARTIN;;;;;;;;;;
Self-Organizing Structures for the Travelling Salesman Problem in a Polygonal Domain;Sushkov, Roman;;Bach.Th.;Katedra;;;BT-2015-0033;;38;1;2015;ČVUT Praha - FEL;ČR;;;;;;;vč. CD;;VOLNÁ;;;;;;;;;;
Inteligentní algoritmy pro inspekci benzinových stanic;Jandová, Kateřina;;Bach.Th.;Katedra;;;BT-2015-0034;;54;1;2015;ČVUT Praha - FEL;ČR;;;;;;;vč. CD;;VOLNÁ;;;;;;;;;;
Katalogizace uživatelů na základě historie stahovaných webových dokumentů;Jenčík, Dušak;;Bach.Th.;Katedra;;;BT-2015-0035;;50;1;2015;ČVUT Praha - FEL;ČR;;;;;;;vč. CD;;VOLNÁ;;;;;;;;;;
Reprezentace proprioceptivních vstupů humanoidního robota iCub pomocí samoorganizujících se map;Bednářová, Naďa;;Bach.Th.;Katedra;;;BT-2015-0036;;33;1;2015;ČVUT Praha - FEL;ČR;;;;;;;vč. CD;;VOLNÁ;;;;;;;;;;
Využití robota LEGO MINDSTORMS při výuce - návrh soutěžních úloh;Dubovic, Jakub;;Bach.Th.;Katedra;;;BT-2015-0037;;36;1;2015;ČVUT Praha - FEL;ČR;;;;;;;vč. CD;;VOLNÁ;;;;;;;;;;
Intelligent Algorithms for Optimal Exploration and Exploatation in Dynamic Environment;Marek, Petr;;Bach.Th.;Katedra;;;BT-2015-0038;;37;1;2015;ČVUT Praha - FEL;ČR;;;;;;;vč. CD;;VOLNÁ;;;;;;;;;;
Optimalizace inspekčních procesů klinických testů;Ondráčková, Lada;;Bach.Th.;Katedra;;;BT-2015-0039;;44;1;2015;ČVUT Praha - FEL;ČR;;;;;;;vč. CD;;VOLNÁ;;;;;;;;;;
Identifikace modelů fyzikálních procesů v silničních tunelech;Talíř, Vojtěch;;Bach.Th.;Katedra;;;BT-2015-0040;;68;1;2015;ČVUT Praha - FEL;ČR;;;;;;;vč. CD;;VOLNÁ;;;;;;;;;;
Učení se strategií ve stochastických hrách s nulovým součtem;Futschik, David;;Bach.Th.;Katedra;;;BT-2015-0041;;36;1;2015;ČVUT Praha - FEL;ČR;;;;;;;vč. CD;;VOLNÁ;;;;;;;;;;
Automatic Name and Snippet Generation of Web Pages with Unknown Content;Amrich, Jonáš;;Bach.Th.;Katedra;;;BT-2015-0042;;28;1;2015;ČVUT Praha - FEL;ČR;;;;;;;vč. CD;;VOLNÁ;;;;;;;;;;
Zobrazení dat uložených v Univerzálním úložišti;Kuchař, Pavel;;Bach.Th.;Katedra;;;BT-2015-0043;;45;1;2015;ČVUT Praha - FEL;ČR;;;;;;;vč. CD;;VOLNÁ;;;;;;;;;;
Automatická detekce akčních potenciálů neuronů z mikroelektrodových signálů;Zamouřil, Jakub;;Bach.Th.;Katedra;;;BT-2015-0044;;39;1;2015;ČVUT Praha - FEL;ČR;;;;;;;vč. CD;;VOLNÁ;;;;;;;;;;
Congruences on Finite Automata;Grimová, Nela;;Bach.Th.;Katedra;;;BT-2015-0045;;31;1;2015;ČVUT Praha - FEL;ČR;;;;;;;vč. CD;;VOLNÁ;;;;;;;;;;
Efficient Many-to-many RANSAC;Šerých, Jonáš;;Bach.Th.;Katedra;;;BT-2015-0046;;39;1;2015;ČVUT Praha - FEL;ČR;;;;;;;vč. CD;;VOLNÁ;;;;;;;;;;
Increasing Weak Classifier Diversity in Ensemble Models by Feature Graphs;Kunc, Vladimír;;Bach.Th.;Katedra;;;BT-2015-0047;;92;1;2015;ČVUT Praha - FEL;ČR;;;;;;;vč. CD;;VOLNÁ;;;;;;;;;;
Asynchronous Decentralized Prioritized Planning for Cooperative Vehicles;Vavřinec, Matěj;;Bach.Th.;Katedra;;;BT-2015-0048;;37;1;2015;ČVUT Praha - FEL;ČR;;;;;;;vč. CD;;VOLNÁ;;;;;;;;;;
Analýza použitelnosti pebble-motion algoritmů pro koordinaci trajektorií v multi-robotickém týmu;Vašek, Jakub;;Bach.Th.;Katedra;;;BT-2015-0049;;32;1;2015;ČVUT Praha - FEL;ČR;;;;;;;vč. CD;;VOLNÁ;;;;;;;;;;
Automatický obchodní systém s fuzzy strategií;Kasimov, Yury;;Bach.Th.;Katedra;;;BT-2015-0050;;42;1;2015;ČVUT Praha - FEL;ČR;;;;;;;vč. CD;;VOLNÁ;;;;;;;;;;
Using Sequence-Form Double-Oracle Algorithm for Simplified Poker;Munch, Martin;;Bach.Th.;Katedra;;;BT-2015-0051;;39;1;2015;ČVUT Praha - FEL;ČR;;;;;;;vč. CD;;VOLNÁ;;;;;;;;;;
Time to Go: A Mobile App for Navigation and Time Management;Musil, Jan;;Bach.Th.;Katedra;;;BT-2015-0052;;69;1;2015;ČVUT Praha - FEL;ČR;;;;;;;vč. CD;;VOLNÁ;;;;;;;;;;
Call centrum pro průzkum spokojenosti zákazníků;Dendis, Martin;;Bach.Th.;Katedra;;;BT-2015-0053;;56;1;2015;ČVUT Praha - FEL;ČR;;;;;;;vč. CD;;VOLNÁ;;;;;;;;;;
Metody generování strategií pro stochastické hry s nulovým součtem;Kryška, Marek;;Bach.Th.;Katedra;;;BT-2015-0054;;27;1;2015;ČVUT Praha - FEL;ČR;;;;;;;vč. CD;;VOLNÁ;;;;;;;;;;
Aplikace pro vyhodnocení experimentu prováděného v aerodynamickém tunelu;Riss, Štěpán;;Bach.Th.;Katedra;;;BT-2015-0055;;26;1;2015;ČVUT Praha - FEL;ČR;;;;;;;vč. CD;;VOLNÁ;;;;;;;;;;
Multiple Trajectory Smoothing for Teams of Closely Cooperating Micro Aerial Vehicles;Hobza, Martin;;Bach.Th.;Katedra;;;BT-2015-0056;;20;1;2015;ČVUT Praha - FEL;ČR;;;;;;;vč. CD;;SASKA, MARTIN;;;;;;;;;;
Collision Avoidance on General Road Network;Kubeša, David;;Bach.Th.;Katedra;;;BT-2015-0057;;48;1;2015;ČVUT Praha - FEL;ČR;;;;;;;vč. CD;;VOLNÁ;;;;;;;;;;
Program pro kontrolu zranitelnosti bezdrátových sítí;Rindt, Jan;;Bach.Th.;Katedra;;;BT-2015-0058;;40;1;2016;ČVUT Praha - FEL;ČR;;;;;;;vč. CD;;VOLNÁ;;;;;;;;;;
Systém měření času dynamických disciplín soutěže Formula Student;Jirásek, Ondřej;;Bach.Th.;Katedra;;;BT-2016-0001;;28;1;2016;ČVUT Praha - FEL;ČR;;;;;;;vč. CD;;VOLNÁ;;;;;;;;;;
Coherent swarming of micro aerial vehicles with minimum computational and communication requirements;Brandtner, Daniel;;Bach.Th.;Katedra;;;BT-2016-0002;;54;1;2016;ČVUT Praha - FEL;ČR;;;;;;;vč. CD;;VOLNÁ;;;;;;;;;;
Extensions of the Vehicle Routing Problem;Klímová, Kateřina;;Bach.Th.;Katedra;;;BT-2016-0003;;53;1;2016;ČVUT Praha - FEL;ČR;;;;;;;vč. CD;;VOLNÁ;;;;;;;;;;
Návrh seriózní hry pro edukaci děti trpících diabetes mellitus;Kejvalová, Jana;;Bach.Th.;Katedra;;;BT-2016-0004;;34;1;2016;ČVUT Praha - FEL;ČR;;;;;;;vč. CD;;VOLNÁ;;;;;;;;;;
Frekvenční analýza spánkových EEG signálů;Paštyka, Jan;;Bach.Th.;Katedra;;;BT-2016-0005;;50;1;2016;ČVUT Praha - FEL;ČR;;;;;;;vč. CD;;VOLNÁ;;;;;;;;;;
Submarine Behaviour Model for Monte Carlo Simulations;Dlask, Tomáš;;Bach.Th.;Katedra;;;BT-2016-0006;;73;1;2016;ČVUT Praha - FEL;ČR;;;;;;;vč. CD;;VOLNÁ;;;;;;;;;;
Vehicle Routing Problem with Multiple Time Windows;Eichler, Petr;;Bach.Th.;Katedra;;;BT-2016-0007;;45;1;2016;ČVUT Praha - FEL;ČR;;;;;;;vč. CD;;VOLNÁ;;;;;;;;;;
Simulační Model Rezidenčního Plynového Kotle;Vobr, David;;Bach.Th.;Katedra;;;BT-2016-0008;;37;1;2016;ČVUT Praha - FEL;ČR;;;;;;;vč. CD;;VOLNÁ;;;;;;;;;;
A Distributed Load Balancing Algorithm for Networks with Hard Mapping Constraints;Lebedeva, Anastasia;;Bach.Th.;Katedra;;;BT-2016-0009;;41;1;2016;ČVUT Praha - FEL;ČR;;;;;;;vč. CD;;VOLNÁ;;;;;;;;;;
Learn and Predict Metasploit Exploit Rand from Availability Vulnerability Information;Gavenčiak, Karel;;Bach.Th.;Katedra;;;BT-2016-0010;;37;1;2016;ČVUT Praha - FEL;ČR;;;;;;;vč. CD;;VOLNÁ;;;;;;;;;;
Algorithm with Quality-Runtime Tredeoff Parameter for Attack Policy in Attack Graphs for Network Security;Babayeva, Elnaz;;Bach.Th.;Katedra;;;BT-2016-0011;;40;1;2016;ČVUT Praha - FEL;ČR;;;;;;;vč. CD;;VOLNÁ;;;;;;;;;;
Mapování Vnitřního Prostředí Autonomní Helikoptérou;Česenek, David;;Bach.Th.;Katedra;;;BT-2016-0012;;61;1;2016;ČVUT Praha - FEL;ČR;;;;;;;vč. CD;;VOLNÁ;;;;;;;;;;
Interactive Visualization System for Hybrid Active Pixel Detections Within the ATLAS Experiment at CERN;Mánek, Petr;;Bach.Th.;Katedra;;;BT-2016-0013;;55;1;2016;ČVUT Praha - FEL;ČR;;;;;;;vč. CD;;VOLNÁ;;;;;;;;;;
Neural Network Based Motion Control of Hexapod Walking Robot;Milička, Pavel;;Bach.Th.;Katedra;;;BT-2016-0014;;35;1;2016;ČVUT Praha - FEL;ČR;;;;;;;vč. CD;;VOLNÁ;;;;;;;;;;
Meřící Přístroj Kruhovosti Součástek;Brázdil, Jiří;;Bach.Th.;Katedra;;;BT-2016-0015;;41;1;2016;ČVUT Praha - FEL;ČR;;;;;;;vč. CD;;VOLNÁ;;;;;;;;;;
Systém pro Personální Lokalizaci;Bláha, Richard;;Bach.Th.;Katedra;;;BT-2016-0016;;55;1;2016;ČVUT Praha - FEL;ČR;;;;;;;vč. CD;;VOLNÁ;;;;;;;;;;
Experimentální Platforma pro Rychké Prototypování Řídicích Algoritmů pro Stejnosměrný Motor s Permanentním Magnetem;Záhora, Jiří;;Bach.Th.;Katedra;;;BT-2016-0017;;31;1;2016;ČVUT Praha - FEL;ČR;;;;;;;vč. CD;;VOLNÁ;;;;;;;;;;
Návrh a Realizace Snímače Myosignálů;Kubeš, Daniel;;Bach.Th.;Katedra;;;BT-2016-0018;;60;1;2016;ČVUT Praha - FEL;ČR;;;;;;;vč. CD;;VOLNÁ;;;;;;;;;;
Geometry and Transformations in Deep Convolutional Neural Networks;Jakab, Tomáš;;Bach.Th.;Katedra;;;BT-2016-0019;;39;1;2016;ČVUT Praha - FEL;ČR;;;;;;;vč. CD;;VOLNÁ;;;;;;;;;;
Detection of Fast Moving Objects;Novotný, Lukáš;;Bach.Th.;Katedra;;;BT-2016-0020;;42;1;2016;ČVUT Praha - FEL;ČR;;;;;;;vč. CD;;VOLNÁ;;;;;;;;;;
Motion PLanning for Swarms of Unmanned Helicopters in Complex Environment;Brich, Tomáš;;Bach.Th.;Katedra;;;BT-2016-0021;;33;1;2016;ČVUT Praha - FEL;ČR;;;;;;;vč. CD;;VOLNÁ;;;;;;;;;;
Periferní Modul pro Řízení Stejnosměrných Motorů pro Platformu Zynq;Nepivoda, Tomáš;;Bach.Th.;Katedra;;;BT-2016-0022;;37;1;2016;ČVUT Praha - FEL;ČR;;;;;;;vč. CD;;VOLNÁ;;;;;;;;;;
Integrace Audio Knihovny;Krýže, Petr;;Bach.Th.;Katedra;;;BT-2016-0023;;57;1;2016;ČVUT Praha - FEL;ČR;;;;;;;vč. CD;;VOLNÁ;;;;;;;;;;
Text Recognition in Images Using Recurrent Neural Networks;Moravová, Alena;;Bach.Th.;Katedra;;;BT-2016-0024;;41;1;2016;ČVUT Praha - FEL;ČR;;;;;;;vč. CD;;VOLNÁ;;;;;;;;;;
Experimentál Evaluation of Abstractions with Imperfect Recall;Hlaváček, Michael;;Bach.Th.;Katedra;;;BT-2016-0025;;35;1;2016;ČVUT Praha - FEL;ČR;;;;;;;vč. CD;;VOLNÁ;;;;;;;;;;
Automatizace Záznamu, Měření a Zpracování AV Charakteristik;Petrova, Olga;;Bach.Th.;Katedra;;;BT-2016-0026;;36;1;2016;ČVUT Praha - FEL;ČR;;;;;;;vč. CD;;VOLNÁ;;;;;;;;;;
Scalable Agent Navigation in Crowd Simulation;Prágr, Myloš;;Bach.Th.;Katedra;;;BT-2016-0027;;57;1;2016;ČVUT Praha - FEL;ČR;;;;;;;vč. CD;;VOLNÁ;;;;;;;;;;
Dialog System of Question Answering;Marek, Petr;;Bach.Th.;Katedra;;;BT-2016-0028;;49;1;2016;ČVUT Praha - FEL;ČR;;;;;;;vč. CD;;VOLNÁ;;;;;;;;;;
Modeling Cyclist Behaviour Using Machine Learning;Langer, Filip;;Bach.Th.;Katedra;;;BT-2016-0029;;48;1;2016;ČVUT Praha - FEL;ČR;;;;;;;vč. CD;;VOLNÁ;;;;;;;;;;
Planner Comparision to Assess Journey PLanning Quality;Korekov, Denis;;Bach.Th.;Katedra;;;BT-2016-0030;;49;1;2016;ČVUT Praha - FEL;ČR;;;;;;;vč. CD;;VOLNÁ;;;;;;;;;;
FPGA Based CAN Bus Channel Mutual Latency Tester and Evaluation;Jeřábek, Martin;;Bach.Th.;Katedra;;;BT-2016-0031;;54;1;2016;ČVUT Praha - FEL;ČR;;;;;;;vč. CD;;VOLNÁ;;;;;;;;;;
Distributed Control of an Array of Light Source;Pučejdl, Krištov;;Bach.Th.;Katedra;;;BT-2016-0032;;44;1;2016;ČVUT Praha - FEL;ČR;;;;;;;vč. CD;;VOLNÁ;;;;;;;;;;
Experimenty s Ultralehkou Membránou v Blízkém Akustickém Poli;Ermokhina, Angelina;;Bach.Th.;Katedra;;;BT-2016-0033;;47;1;2016;ČVUT Praha - FEL;ČR;;;;;;;vč. CD;;VOLNÁ;;;;;;;;;;
Lifelong Localization of Mobile Robot;Kapošváry, Matěj;;Bach.Th.;Katedra;;;BT-2016-0034;;61;1;2016;ČVUT Praha - FEL;ČR;;;;;;;vč. CD;;VOLNÁ;;;;;;;;;;
Hidden Variables in Mathematical Models of Quantum Structures;Petr, Matěj;;Bach.Th.;Katedra;;;BT-2016-0035;;31;1;2016;ČVUT Praha - FEL;ČR;;;;;;;vč. CD;;VOLNÁ;;;;;;;;;;
Sopwith - Letecká Retrohra pro Android;Karimi, Daniel;;Bach.Th.;Katedra;;;BT-2016-0036;;35;1;2016;ČVUT Praha - FEL;ČR;;;;;;;vč. CD;;VOLNÁ;;;;;;;;;;
Semantic Parsing of Questions;Matulík, Martin;;Bach.Th.;Katedra;;;BT-2016-0037;;38;1;2016;ČVUT Praha - FEL;ČR;;;;;;;vč. CD;;VOLNÁ;;;;;;;;;;
Motion Planning for Modular Robots Under Failures;Lamper, Daniel;;Bach.Th.;Katedra;;;BT-2016-0038;;39;1;2016;ČVUT Praha - FEL;ČR;;;;;;;vč. CD;;VOLNÁ;;;;;;;;;;
Path Planning in Pretein Structures;Jankovec, Tom;;Bach.Th.;Katedra;;;BT-2016-0039;;65;1;2016;ČVUT Praha - FEL;ČR;;;;;;;vč. CD;;VOLNÁ;;;;;;;;;;
Model Predictive Control of Anmanned Helicopter with Obstacle Avoidance;Bouček, Jan;;Bach.Th.;Katedra;;;BT-2016-0040;;50;1;2016;ČVUT Praha - FEL;ČR;;;;;;;vč. CD;;VOLNÁ;;;;;;;;;;
Object Detection in High Resolution Satelite Images;Azayev, Teymur;;Bach.Th.;Katedra;;;BT-2016-0041;;55;1;2016;ČVUT Praha - FEL;ČR;;;;;;;vč. CD;;VOLNÁ;;;;;;;;;;
Cooperative Tracking of a Moving Object by a Formation of Unmanned Helicopters;Cibulka, Vít;;Bach.Th.;Katedra;;;BT-2016-0042;;40;1;2016;ČVUT Praha - FEL;ČR;;;;;;;vč. CD;;VOLNÁ;;;;;;;;;;
Vývoj Robotické Buňky pro Manupilaci s PLastovými Rourami;Hajdůšek, Lukáš;;Bach.Th.;Katedra;;;BT-2016-0043;;85;1;2016;ČVUT Praha - FEL;ČR;;;;;;;vč. CD;;VOLNÁ;;;;;;;;;;
Vizuální lokalizace pro Experimentaci v Mobilní Robotice;Pivoňka, Tomáš;;Bach.Th.;Katedra;;;BT-2016-0044;;39;1;2016;ČVUT Praha - FEL;ČR;;;;;;;vč. CD;;VOLNÁ;;;;;;;;;;
Vývoj Integračního Adaptéru pr IBM TRC a Blueworks Live;Bakeyev, Ruslan;;Bach.Th.;Katedra;;;BT-2016-0045;;30;1;2016;ČVUT Praha - FEL;ČR;;;;;;;vč. CD;;VOLNÁ;;;;;;;;;;
Optimální Řízení Akumulátorového Úložiště v Budově;Žaitlík, David;;Bach.Th.;Katedra;;;BT-2016-0046;;61;1;2016;ČVUT Praha - FEL;ČR;;;;;;;vč. CD;;VOLNÁ;;;;;;;;;;
Plánování Trajektorie Bezpilotního Prostředku pro Inspekci 3D Objektů;Chloupek, Martin;;Bach.Th.;Katedra;;;BT-2016-0047;;44;1;2016;ČVUT Praha - FEL;ČR;;;;;;;vč. CD;;VOLNÁ;;;;;;;;;;
Application for Feature Extraction from Eye Movement Signal Analysis;Melkumov, Ivan;;Bach.Th.;Katedra;;;BT-2016-0048;;34;1;2016;ČVUT Praha - FEL;ČR;;;;;;;vč. CD;;VOLNÁ;;;;;;;;;;
Detekce Zakládní Hlasivkové Frekvence na Bázi Prodloužené Fonace u Pacientů s Poruchami Hlasu;Suchý, Filip;;Bach.Th.;Katedra;;;BT-2016-0049;;39;1;2016;ČVUT Praha - FEL;ČR;;;;;;;vč. CD;;VOLNÁ;;;;;;;;;;
Game-Theoretic Model of Route for Maritime Smuggling Operations;Drtina, Tomáš;;Bach.Th.;Katedra;;;BT-2016-0050;;33;1;2016;ČVUT Praha - FEL;ČR;;;;;;;vč. CD;;VOLNÁ;;;;;;;;;;
Detectiong Objects for Autonomous System Verification;Jašek, Otakar;;Bach.Th.;Katedra;;;BT-2016-0051;;50;1;2016;ČVUT Praha - FEL;ČR;;;;;;;vč. CD;;VOLNÁ;;;;;;;;;;
Active Searching of RFID Chips by a Group of Relatively Stabilized Helicopters;Vrba, Václav;;Bach.Th.;Katedra;;;BT-2016-0052;;38;1;2016;ČVUT Praha - FEL;ČR;;;;;;;vč. CD;;VOLNÁ;;;;;;;;;;
Onboard Altitude Controller with State Feedback and State Observer;Puciow, František;;Bach.Th.;Katedra;;;BT-2016-0053;;50;1;2016;ČVUT Praha - FEL;ČR;;;;;;;vč. CD;;VOLNÁ;;;;;;;;;;
Neural Networks for Humanoid Robot Control;Stanko, Silvestr;;Bach.Th.;Katedra;;;BT-2016-0054;;44;1;2016;ČVUT Praha - FEL;ČR;;;;;;;vč. CD;;VOLNÁ;;;;;;;;;;
Conditional Probability Models in Transportations;Šinkovec, Petr;;Bach.Th.;Katedra;;;BT-2016-0055;;39;1;2016;ČVUT Praha - FEL;ČR;;;;;;;vč. CD;;VOLNÁ;;;;;;;;;;
