Nazev;Autor;Spoluautori;DruhPublikace;Deponovano;SystemoveCislo;EvidencniCisloFEL;EvidencniCisloOddeleni;CarovyKod;PocetStran;Vydani;RokVydani;Vydavatel;ZemeVydani;ISBNorISSN;CisloCasopisu;RocnikCasopisu;Konference;Cena;KlicovaSlova;Poznamka;Vlozeno;ZapujcenoKomu;ZapujcenoOd;ZapujcenoDo;FormType;IntStatus;Extra3;Extra4;Extra5;StsCheck;StsUK;
Lékařská fyziologie;Trojan Stanislav;;Book;Katedra;99707;950153;KAT-1024;BC000019419-000010;460;1;1994;Grada Publishing;CZ;80-7169-036-8;;;;370,00 Kč;LÉKAŘSTVÍ, FYZIOLOGIE;;;VOLNÁ;;;;;;;;OK;;
Matematická statistika;Anděl,Jiří;;Book;Katedra;;790289;KAT-1025;79116-440;346;;1978;SNTL;CZ;;;;;0,00 Kč;;;;NOVÁK, DANIEL;07.03.2011;;;;;;;;;
Metoda GUHA: Automatická tvorba hypotéz;Hájek P.;Havránek, T.,Chytil, K. M.;Book;Katedra;4249;840679;KAT-1026;BC000022371-000010;314;1;1983;Academia,nakladatelství ČAV;Praha;;;;;0,00 Kč;LOGIKA MATEMATICKÁ, STATISTIKA MATEMATICKÁ;;;VOLNÁ;;;;;;;;OK;;
OCCAM 2;Galletly, John;;Book;Katedra;19442;950178;KAT-1027;BC000019442-000010;271;1;1990;Pitman Publishing, London;Great Britain;0-273-03067-1;;;;0,00 Kč;JAZYKY PROGRAMOVACÍ, TRANSPUTERY, ARCHITEKTURA PARALELNÍ;;;VOLNÁ;;;;;;;;OK;;
Optimal Statistical Decisions;DeGroot, M.H.;;Book;Katedra;685560;270832;KAT-1028;3102000880;489;1;2004;John Wiley & Sons;USA;0-471-68029-X;;;;2450 Kč;matematická statistika;;;NOVÁK, DANIEL;;;;;;;;;;
Petriho sítě: Úvod do teorie nástrojů pro aplikaci Petriho sítí;Češka, Milan;;Book;Katedra;25270;952091;KAT-1029;BC000025270-000010;94;1;1994;Akademické nakladatelství CERM Brno;CZ;80-85867-35-4;;;;150,00 Kč;SÍTĚ PETRIHO, SYSTÉMY INFORMAČNÍ;vč.diskety;;VOLNÁ;;;;;;;;OK;;
Počítačové vidění;Hlaváč Václav;Milan Šonka;Book;Katedra;14896;931753;KAT-1030;BC000014896-000070;272;1;1992;Grada Publishing;Praha;80-85424-67-3;;;;95,26 Kč;VIDĚNÍ POČÍTAČOVÉ, POČÍTAČE;;;VOLNÁ;;;;;;;;OK;;
Pravidla českého pravopisu;;;Book;Katedra;;700425;KAT-1031;41932-70;499;5;1969;Academia,nakladatelství ČAV;CZ;;;;;30,00 Kč;;12;;VOLNÁ;;;;;;;;OK;;
Psychologie: Lexikon základních pojmů;Schmidbauer, Wolfgang;;Book;Katedra;19423;950157;KAT-1032;BC000019423-000010;203;1;1994;Naše vojsko;CZ;80-206-0459-6;;;;79,00 Kč;PSYCHOLOGIE;12;;VOLNÁ;;;;;;;;OK;;
Přehled lékařské fyziologie;Ganong, William F.;;Book;Katedra;;781018;KAT-1033;;632;1;1976;Avicenum, zdravotnické nakladatelství;CZ;;;;;89,00 Kč;;;;VOLNÁ;;;;;;;;OK;;
Quaternions for Computer Graphics;Vince, John;;Book;Katedra;000772823;150886;KAT-1034;3102008342;140;1;2011;Springer-Verlag;New York;978-0-85729-759-4;;;;891 Kč;Počítačová grafika;;;JANOUCH, MARTIN;;;;;;;;;;
Real World Color Management: Industrial - Strenght Production Techniques;Fraser, B.;Murphy, Ch., Bunting, F.;Book;Katedra;692479;290273;KAT-1035;3102031788;582;2;2005;Peachpit;USA;0-321-26722-2;;;;1889,90 Kč;počítačová grafika, management barev;;;VOLNÁ;;;;;;;;;;
Spravočnik po statističeskim raspredelenijam;Hastings, N. A. J.;Peacock,J.;Book;Katedra;;820846;KAT-1036;;94;1;1980;Vydavatelství USSR;USSR;;;;;0,00 Kč;STATISTIKA MATEMATICKÁ;12;;VOLNÁ;;;;;;;;OK;;
The Concise Oxford Dictionary of Current English;Sykes J. B.;;Book;Katedra;12935;890210;KAT-1037;BC000012935-000010;1264;7;1989;Oxford University Press;;;;;;0,00 Kč;SLOVNÍKY ANGLICKÉ;12;;VOLNÁ;;;;;;;;OK;;
Typografický systém TEX;Olšák, Petr;;Book;Katedra;25185;951629;KAT-1038;BC000025185-000010;269;1;1995;CSTUG;CZ;80-901950-0-8;;;;105,00 Kč;TEX;12;;VOLNÁ;;;;;;;;OK;;
Znak, systém, proces: K problémom marxistickej semiotiky;;;Book;Katedra;10839;871519;KAT-1039;BC000010839-000010;267;1;1987;VEDA,vydavatelství Slov.ak.ved;Slovensko;;;;;0,00 Kč;JAZYKOVĚDA, SÉMANTIKA;12;;VOLNÁ;;;;;;;;OK;;
Základy etologie;Lorenz, Konrad;;Book;Katedra;18829;940986;KAT-1040;BC000018829-000010;254;1;1993;Academia,nakladatelství ČAV;Praha;80-200-0477-7;;;;175,00 Kč;BIOLOGIE, ETOLOGIE;;;NAHODIL, PAVEL;10.03.1999;;;;;;;;;
Základy teorie řízení a kybernetiky;Vercion Vladimír;Nikolaj S. Polevoj, Bohuslav Stříž;Book;Katedra;21101;805275;KAT-1041;BC000021101-000040;234;1;1979;SPN Praha;;;;;;0,00 Kč;ŘÍZENÍ, TEORIE, KYBERNETIKA TECHNICKÁ;12;;VOLNÁ;;;;;;;;OK;;
Linear Algebra Tools for Data Mining (ebook);Simovici, Dan A.;;Book;Katedra;;;KAT-1042;;;1;2012;World Scientific Publishing Co. Pte. Ltd.;Massachusetts;978-981-4383-50-9;;;;3460,06 Kč;Professionals, academics, and graduate students in pattern recognition and artificial intelligence;ebook - 131357-0130;;ŠTĚPÁNKOVÁ, OLGA;17.05.2013;;;;;;;;;
Umělá inteligence (1);Mařík, Vladimír (ed.);Štěpánková, Olga, Lažanský, Jiří;kniha-sborník;Katedra;4524;950130;KAT-1043;BC000018392-000090;264;1;1993;Academia,nakladatelství ČAV;Praha;80-200-0496-3;;;;98,00 Kč;INTELIGENCE UMĚLÁ;;;VOLNÁ;;;;;;;;OK;;
Jak psát a přednášet o vědě - paré 10;Šesták, Zdeněk;;Book;Katedra;;;KAT-1044;;204;1;1999;Academia,nakladatelství ČAV,Praha;CZ;80-200-0755-5;;;;0,00 Kč;;;;VOLNÁ;;;Copy;;;;;;;
Jak psát a přednášet o vědě - paré 01;Šesták, Zdeněk;;Book;Katedra;;;KAT-1045;;204;1;1999;Academia,nakladatelství ČAV,Praha;CZ;80-200-0755-5;;;;0,00 Kč;;;;VOLNÁ;;;Copy;;;;;;;
Jak psát a přednášet o vědě - paré 02;Šesták, Zdeněk;;Book;Katedra;;;KAT-1046;;204;1;1999;Academia,nakladatelství ČAV,Praha;CZ;80-200-0755-5;;;;0,00 Kč;;;;VOLNÁ;;;Copy;;;;;;;
Jak psát a přednášet o vědě - paré 03;Šesták, Zdeněk;;Book;Katedra;;;KAT-1047;;204;1;1999;Academia,nakladatelství ČAV,Praha;CZ;80-200-0755-5;;;;0,00 Kč;;;;VOLNÁ;;;Copy;;;;;;;
Jak psát a přednášet o vědě - paré 04;Šesták, Zdeněk;;Book;Katedra;;;KAT-1048;;204;1;1999;Academia,nakladatelství ČAV,Praha;CZ;80-200-0755-5;;;;0,00 Kč;;;;VOLNÁ;;;Copy;;;;;;;
Jak psát a přednášet o vědě - paré 05;Šesták, Zdeněk;;Book;Katedra;;;KAT-1049;;204;1;1999;Academia,nakladatelství ČAV,Praha;CZ;80-200-0755-5;;;;0,00 Kč;;;;VOLNÁ;;;Copy;;;;;;;
Jak psát a přednášet o vědě - paré 06;Šesták, Zdeněk;;Book;Katedra;;;KAT-1050;;204;1;1999;Academia,nakladatelství ČAV,Praha;CZ;80-200-0755-5;;;;0,00 Kč;;;;VOLNÁ;;;Copy;;;;;;;
Jak psát a přednášet o vědě - paré 07;Šesták, Zdeněk;;Book;Katedra;;;KAT-1051;;204;1;1999;Academia,nakladatelství ČAV,Praha;CZ;80-200-0755-5;;;;0,00 Kč;;;;VOLNÁ;;;Copy;;;;;;;
Jak psát a přednášet o vědě - paré 08;Šesták, Zdeněk;;Book;Katedra;;;KAT-1052;;204;1;1999;Academia,nakladatelství ČAV,Praha;CZ;80-200-0755-5;;;;0,00 Kč;;;;VOLNÁ;;;Copy;;;;;;;
Jak psát a přednášet o vědě - paré 09;Šesták, Zdeněk;;Book;Katedra;;;KAT-1053;;204;1;1999;Academia,nakladatelství ČAV,Praha;CZ;80-200-0755-5;;;;0,00 Kč;;;;VOLNÁ;;;Copy;;;;;;;
Bionik: Zukunfts-Technik lernt von der Natur. Eine Ausstellung des Landesmuseums für Technik und Arbeit in Mannheim, 1.;;;Proceeding;Katedra;26413;962366;KAT-1054;BC000026413-000010;79;1;1996;Landesmuseum für Technik und Arbeit, Mannheim;Germany;3-9804930-1-6;;;Juni-29.September 1996;342,80 Kč;BIONIKA;;;VOLNÁ;;;;;;;;OK;;
Global Telemedicine and eHealth Updates: Knowledge Resources;Jordanova, Malina;Lievens Frank;Proceeding;Katedra;;;KAT-1055;;;1;2013;;Luxembourg;1998-5509;;;Med@Tel 2013;;;;;LHOTSKÁ, LENKA;15.04.2013;;;;;;;;;
Cybernetics and Systems 2004, Vol.2;Trappl, R.;;Proceeding;Katedra;;;KAT-1056;;409;1;2004;Austrian Society for Cybernetics Studies;Austria;3-85206-169-5;;;EMCSR 2004;;;;;VOLNÁ;;;;;;;;;;
Anatomie 1;Čihák, Radomír;;Textbook;Katedra;14040;880963;KAT-1057;BC000014040-000020;456;1;1987;Avicenum, zdravotnické nakladatelství;CZ;;;;;0,00 Kč;LÉKAŘSTVÍ;;;NAHODIL, PAVEL;10.03.1999;;;;;;;;;
Biokybernetika;Eck, Vladimír;Razím, Miroslav;Textbook;Katedra;25782;960981;KAT-1058;BC000025782-000180;150;1;1996;Vydavatelství ČVUT v Praze;CZ;80-01-01445-2;;;;63,00 Kč;BIOKYBERNETIKA;;;ECK, VLADIMÍR;01.09.2004;;;;;;;;;
Biomechanika člověka;Valenta, Jaroslav;Konvičková, Svatava;Textbook;Katedra;4529;960891;KAT-1059;BC000025783-000010;177;1;1996;Vydavatelství ČVUT v Praze;CZ;80-01-01452-5;;;;68,00 Kč;BIOMECHANIKA;;;FEJTOVÁ, MARCELA;21.08.2001;;;;;;;;;
Fuzzy řízení;Vysoký, Petr;;Textbook;Katedra;25780;960890;KAT-1060;BC000025780-000050;131;1;1996;Vydavatelství ČVUT v Praze;CZ;80-01-01429-8;;;;52,00 Kč;FUZZY, ŘÍZENÍ, FUZZY;;;VOLNÁ;;;;;;;;OK;;
Obecná teorie sysžtémů;Štecha, Jan;;Textbook;Katedra;;785509;KAT-1061;;;;1978;Vydavatelství ČVUT v Praze;CZ;;;;;0,00 Kč;;12;;VOLNÁ;;;;;;;;OK;;
Stochastické systémy a jejich řízení;Beneš, Jiří;Žampa, Pavel;Textbook;Katedra;;765596;KAT-1062;;;;1976;Vydavatelství ČVUT v Praze;CZ;;;;;0,00 Kč;;12;;VOLNÁ;;;;;;;;OK;;
Teorie automatického řízení I: Příklady;Mařík,Vladimír;Zdráhal,Zdeněk, Kalačová,Margita;Textbook;Katedra;16301;818426;KAT-1063;BC000016301-000350;202;1;1981;Vydavatelství ČVUT v Praze;CZ;;;;;0,00 Kč;ŘÍZENÍ AUTOMATICKÉ;;;VOLNÁ;;;;;;;;;;
Anglicko - český technický slovník;;;Dicti/Encyc;Katedra;;700112;KAT-1064;80496-700;1028;1;1969;SNTL;CZ;;;;;89,00 Kč;;12;;VOLNÁ;;;;;;;;OK;;
Anglicko-český slovník výpočetní techniky;Minihofer, Oldřich;Kratochvílová, J.;Dicti/Encyc;Katedra;5185;880383;KAT-1065;BC000012589-000170;334;1;1986;SNTL;Praha;;;;;0,00 Kč;SLOVNÍK, SLOVNÍKY ANGLICKÉ, ANGLIČTINA, TECHNIKA VÝPOČETNÍ;;;VOLNÁ;;;;;;;;;;
Anglicko-český slovník výpočetní techniky;Minihofer, Oldřich;Kratochvílová,J.;Dicti/Encyc;Katedra;5186;870485;KAT-1066;BC000012585-000040;494;1;1986;SNTL;CZ;;;;;0,00 Kč;SLOVNÍK, SLOVNÍKY ANGLICKÉ, ANGLIČTINA;12;;VOLNÁ;;;;;;;;OK;;
Anglicko-český výkladový slovník výpočetní techniky;Minihofer, Oldřich;Kratochvílová, J.;Dicti/Encyc;Katedra;13209;900640;KAT-1067;BC000012586-000030;228;1;1990;SNTL;CZ;80-03-00182-X;;;;0,00 Kč;SLOVNÍK, SLOVNÍKY ANGLICKÉ, ANGLIČTINA;12;;VOLNÁ;;;;;;;;OK;;
Ilustrovaný encyklopedický slovník III: Pro-Ž;;;Dicti/Encyc;Katedra;20111;830556;KAT-1068;BC000020111-000030;975;1;1982;Academia,nakladatelství ČAV;Praha;;;;;0,00 Kč;ENCYKLOPEDIE;12;;VOLNÁ;;;;;;;;OK;;
Lékařský slovník anglicko-český a česko-anglický: A-Z;;;Dicti/Encyc;Katedra;18459;931881;KAT-1069;BC000018459-000010;693;2;1991;Avicenum, zdravotnické nakladatelství;CZ;80-201-0178-0;;;;152,50 Kč;SLOVNÍKY ANGLICKÉ, LÉKAŘSTVÍ;12;;VOLNÁ;;;;;;;;OK;;
Malý N-Č a Č-N tech. slovník;;;Dicti/Encyc;Katedra;;770451;KAT-1070;;599;;1974;SNTL;CZ;;;;;0,00 Kč;;12;;VOLNÁ;;;;;;;;OK;;
N-Č a Č-N elektrotechnický slovník;;;Dicti/Encyc;Katedra;;750230;KAT-1071;731159-10;947;;1973;SNTL;CZ;;;;;0,00 Kč;;12;;VOLNÁ;;;;;;;;OK;;
Německo-český slovník I (A - L);;;Dicti/Encyc;Katedra;;701010;KAT-1072;;754;;1970;SPN Praha;CZ;;;;;0,00 Kč;;;;VOLNÁ;;;;;;;;OK;;
Německo-český slovník II (M - Z);;;Dicti/Encyc;Katedra;;701011;KAT-1073;;1441;;1970;SPN Praha;CZ;;;;;0,00 Kč;;;;VOLNÁ;;;;;;;;OK;;
Rusko-český a česko-ruský elektrotechnický a elektronický slovník;;;Dicti/Encyc;Katedra;12855;830075;KAT-1074;BC000012855-000130;804;1;1982;SNTL;Praha;;;;;0,00 Kč;SLOVNÍKY RUSKÉ;12;;VOLNÁ;;;;;;;;OK;;
Slovník výpočetní techniky: Anglicko-český;Minihofer, Oldřich;Kratochvílová,Jindra,Kabeš, Karel, Janoš, Karel;Dicti/Encyc;Katedra;80331;800171;KAT-1075;5181-60;353;1;1979;Interpress;CZ;;;;;0,00 Kč;SLOVNÍKY TECHNICKÉ, ANGLIČTINA;12;;VOLNÁ;;;;;;;;OK;;
Slovník výpočetní techniky: Francouzsko-český a česko-francouzský;Janoš, K.;Laitl, J.;Dicti/Encyc;Katedra;84004;850573;KAT-1076;BC000084004-000020;351;1;1980;Videopress;CZ;;;;;0,00 Kč;SLOVNÍKY FRANCOUZSKÉ, TECHNIKA VÝPOČETNÍ;12;;VOLNÁ;;;;;;;;OK;;
Velký anglicko-český technický slovník: P-Z;Pekárek, Otakar;Cacek,Karel, Káš, Zdeněk;Dicti/Encyc;Katedra;;661562;KAT-1077;64280-260;;;1960;SNTL;CZ;;;;;0,00 Kč;slovník A-Č;12;;VOLNÁ;;;;;;;;OK;;
Information Technology in Bio-and Medical Informatics;;;kniha-sborník;Katedra;000733603;112134;KAT-1078;3102025444;185;1;2011;Springer-Verlag;Berlin;978-3-642-23207-7;;;;;biomedicínské materiály, biomedicína;;;VOLNÁ;;;;;;;;OK;;
Computational Logic in Multi-Agent Systems - LNAI 6214;Dix, Jurgen;;kniha-sborník;Katedra;000733604;112133;KAT-1079;3102025445;195;1;2009;Springer-Verlag;New York;978-3-642-16866-6;;;;0,00 Kč;umělá inteligence;;;VOLNÁ;;;;;;;;OK;;
