Nazev;Autor;Spoluautori;DruhPublikace;Deponovano;SystemoveCislo;EvidencniCisloFEL;EvidencniCisloOddeleni;CarovyKod;PocetStran;Vydani;RokVydani;Vydavatel;ZemeVydani;ISBNorISSN;CisloCasopisu;RocnikCasopisu;Konference;Cena;KlicovaSlova;Poznamka;Vlozeno;ZapujcenoKomu;ZapujcenoOd;ZapujcenoDo;FormType;IntStatus;Extra3;Extra4;Extra5;StsCheck;StsUK;
NEOBHÁJENO - Návrh a aplikace hybridního řídícího systému mobilních robotů na bázi Umělého života;Svatoš, Václav;;Doc.Th.;Katedra;;;DocT-2007-0007;;118;1;2007;ČVUT Praha - FEL;ČR;;;;;;;;;VOLNÁ;;;;;;;;;;
Modeling Spatial Navigation of Rodents;Bureš, Michal;;Doc.Th.;Katedra;;;DocT-2007-0008;;107;1;2007;ČVUT Praha - FEL;ČR;;;;;;;;;VOLNÁ;;;;;;;;;;
Lokalizace pro autonomní systémy;Mázl, Roman;;Doc.Th.;Katedra;;;DocT-2007-0009;;152;1;2007;ČVUT Praha - FEL;ČR;;;;;;;;;VOLNÁ;;;;;;;;;;
Localization of Surgical Instruments in 3D Ultrasound Images;Barva, Martin;;Doc.Th.;Katedra;;;DocT-2007-0010;;140;1;2007;ČVUT Praha - FEL;ČR;;;;;;;;;VOLNÁ;;;;;;;;;;
Epipolar Rectification Minimising Image Loss - 2.;Matoušek, Martin;;Doc.Th.;Katedra;;;DocT-2007-0011;;119;1;2007;ČVUT Praha - FEL;ČR;;;;;;;;;VOLNÁ;;;;;;;;;;
Epipolar Rectification Minimising Image Loss - 1.;Matoušek, Martin;;Doc.Th.;Katedra;;;DocT-2007-0012;;119;1;2007;ČVUT Praha - FEL;ČR;;;;;;;;;VOLNÁ;;;;;;;;;;
Text Classification;Malík, Antonín;;Doc.Th.;Katedra;692141;;DocT-2008-0001;;126;1;2008;ČVUT Praha - FEL;ČR;;;;;;;;;VOLNÁ;;;;;;;;;;
Robust Multiview Recontruction;Martinec, D.;;Doc.Th.;Katedra;705553;;DocT-2008-0002;;128;1;2008;ČVUT Praha - FEL;ČR;;;;;;;;;VOLNÁ;;;;;;;;;;
Omnidirectional Cameras for Safe Automobile Driving;Ehlgen, T.;;Doc.Th.;Katedra;;;DocT-2008-0003;;75;1;2008;ČVUT Praha - FEL;ČR;;;;;;;;;VOLNÁ;;;;;;;;;;
Multi-Agent Service Selection in Competetive Resource - Constrained Environments;Jakob, M.;;Doc.Th.;Katedra;705668;;DocT-2008-0004;;108;1;2008;ČVUT Praha - FEL;ČR;;;;;;;;;VOLNÁ;;;;;;;;;;
Motivation Driven Reinforcement Learning and Automatic Creation of Behavior Hierarchies;Kadleček, D.;;Doc.Th.;Katedra;;;DocT-2008-0005;;134;1;2008;ČVUT Praha - FEL;ČR;;;;;;;;;VOLNÁ;;;;;;;;;;
Feature Selection: Stability, Algorithms, and Evaluation;Křížek, Pavel;;Doc.Th.;Katedra;;;DocT-2008-0006;;113;1;2008;ČVUT Praha - FEL;ČR;;;;;;;;;VOLNÁ;;;;;;;;;;
Fast Learnable Methods for Object Tracking;Zimmerman, Karel;;Doc.Th.;Katedra;;;DocT-2008-0007;;93;;2008;ČVUT Praha - FEL;ČR;;;;;;;2x;;VOLNÁ;;;;;;;;;;
Multi Agent System for Artificial Life Domain;Elmahalawy, Ahmed;;Doc.Th.;Katedra;;;DocT-2008-0008;;141;;2008;ČVUT Praha - FEL;ČR;;;;;;;2x;03.06.2020;VOLNÁ;;;;;;;;;;
Softcomputing and the Feasibility of Parallelization: Parallel Genetic Algorithms;Konfršt, Zdeněk;;Doc.Th.;Katedra;;;DocT-2009-0001;;136;1;2009;;Praha;;;;;;;;;VOLNÁ;;;;;;;;;;
Accurate and Robust Stereoscopic Matching in Efficient Algorithms;Čech, Jan;;Doc.Th.;Katedra;;;DocT-2009-0002;;140;1;2009;ČVUT Praha - FEL;ČR;;;;;;;;;ZTRACENOHLEDASE;;;;;;;;;;
Surgical Tools Localization in 3D Ultrasound Images;Uherčík, Marián;;Doc.Th.;GL;;;DocT-2010-0001;;121;1;2010;Czech Technical University in Prague;Praha;;;;;;;s CD;;VOLNÁ;;;;;;;;;;
Simulation of Flow and Pressure Pattern in Patients with Different Body Size Supported by Pulsatile Ventricular Assist Devices II.;Ježek, Filip;;Doc.Th.;Katedra;;;DocT-2010-0002;;95;1;2010;ČVUT Praha - FEL;ČR;;;;;;;s CD ROM;;VOLNÁ;;;;;;;;;;
Simulation of Flow and Pressure Pattern in Patients with Different Body Size Supported by Pulsatile Ventricular Assist Devices I.;Ježek, Filip;;Doc.Th.;Katedra;;;DocT-2010-0003;;95;1;2010;ČVUT Praha - FEL;ČR;;;;;;;s CD ROM;;ZTRACENOHLEDASE;;;;;;;;;;
Incomplete-Observation Diagnostic Model Simplification;Havel, Ivan;;Doc.Th.;GL;;;DocT-2010-0004;;111;1;2010;Czech Technical University in Prague;Praha;;;;;;;;;VOLNÁ;;;;;;;;;;
Gene Interaction Extraction from Biomedical Text - I.;Vítovec, Přemysl;;Doc.Th.;Katedra;708382;;DocT-2010-0005;;59;1;2010;ČVUT Praha - FEL;ČR;;;;;;;s CD ROM;;VOLNÁ;;;;;;;;;;
Robot Mapping for Large Environments - I.;Košnar, Karel;;Doc.Th.;Katedra;;;DocT-2011-0001;;135;1;2011;Czech Technical University in Prague;Praha;;;;;;;;;VOLNÁ;;;;;;;;;;
Objektivizace a podpora pro diagnostiku a rehabilitaci strabismu - I.;Novák, Petr;;Doc.Th.;Katedra;;;DocT-2011-0002;;158;1;2011;Czech Technical University in Prague;Praha;;;;;;;;;VOLNÁ;;;;;;;;;;
Nao Localization and Navigation Based on Sparse 3D Point Cloud Reconstruction - II.;Fojtů, Šimon;;Doc.Th.;Katedra;;;DocT-2011-0003;;51;1;2011;Czech Technical University in Prague;Praha;;;;;;;s CD;;VOLNÁ;;;;;;;;;;
Nao Localization and Navigation Based on Sparse 3D Point Cloud Reconstruction - I.;Fojtů, Šimon;;Doc.Th.;Katedra;;;DocT-2011-0004;;51;1;2011;Czech Technical University in Prague;Praha;;;;;;;s CD;;VOLNÁ;;;;;;;;;;
Multi-Level Structure of Anticipatory Behaviour in Alife - I.;Kohout, Karel;;Doc.Th.;Katedra;;;DocT-2011-0005;;129;1;2011;Czech Technical University in Prague;Praha;;;;;;;s CD;;VOLNÁ;;;;;;;;;;
Maximally Stable Extremal Regions and Local Geometry for Visual Correspondences - I.;Perďoch, Michal;;Doc.Th.;Katedra;;;DocT-2011-0006;;100;1;2011;Czech Technical University in Prague;Praha;;;;;;;s CD;;VOLNÁ;;;;;;;;;;
Large-Scale Mobile Robot Navigation and Map Building - I.;Krajník, Tomáš;;Doc.Th.;Katedra;;;DocT-2011-0007;;102;1;2011;Czech Technical University in Prague;Buenos Aires;;;;;;obhájeno v roce 2012;bez CD;;VOLNÁ;;;;;;;;;;
Distributed Problem Solving By Means of Agent Negotiation;Vokřínek, Jiří;;Doc.Th.;Katedra;;;DocT-2011-0008;;118;1;2011;Czech Technical University in Prague;Praha;;;;;;bez CD;;;VOLNÁ;;;;;;;;;;
Automatic Analysis of Intrapartum Fetal Heart Rate;Chudáček, Václav;;Doc.Th.;Katedra;;;DocT-2011-0009;;103;1;2011;Czech Technical University in Prague;Praha;;;;;;;bez CD;;CHUDÁČEK, VÁCLAV;27.02.2012 - 27.08.2012;;;;;;;;;
Stable Wave Detector and Tracker;Dupač, Jan;;Doc.Th.;Katedra;;;DocT-2011-0010;;114;1;2011;Czech Technical University in Prague;Praha;;;;;;;bez CD;;VOLNÁ;;;;;;;;;;
Opinion Formation Inspired Search Strategies for Feature Selection - I.;Macaš, Martin;;Doc.Th.;Katedra;;;DocT-2012-0001;;122;1;2012;Czech Technical University in Prague;Praha;;;;;;;bez CD;;VOLNÁ;;;;;;;;;;
Neinvazivní měření krevního tlaku založené na oscilometrickém principu - I.;Fabián, Vratislav;;Doc.Th.;Katedra;;;DocT-2012-0002;;98;1;2012;Czech Technical University in Prague;Praha;;;;;;;bez CD;;VOLNÁ;;;;;;;;;;
Multichannel Image Information Similarity Measures: Applications to Colposcopy Image Registration;García-Arteaga, Juan David;;Doc.Th.;Katedra;;;DocT-2012-0003;;120;1;2012;Czech Technical University in Prague;Praha;;;;;;;;;VOLNÁ;;;;;;;;;;
Multichannel Image Information Similarity Measures: Applications to Colposcopy Image Registration;García-Arteaga, Juan David;;Doc.Th.;Katedra;;;DocT-2012-0004;;120;2. vydání;2012;Czech Technical University in Prague;Praha;;;;;;;;;VOLNÁ;;;;;;;;;;
Incremental Structure from Motion for Large Ordered and Unordered Sets of Images;Havlena, Michal;;Doc.Th.;Katedra;;;DocT-2012-0005;;103;1;2012;Czech Technical University in Prague;Praha;;;;;;;;;VOLNÁ;;;;;;;;;;
Exploiting Ontologies and Higher Order Knowledge in Relational Data Mining - I.;Zemanová, Monika (Žáková);;Doc.Th.;Katedra;;;DocT-2012-0006;;100;1;2012;Czech Technical University in Prague;Praha;;;;;;;bez CD;;VOLNÁ;;;;;;;;;;
Efficient Collection of Statistics for Embedded Software Verification - I.;Báča, David;;Doc.Th.;Katedra;;;DocT-2012-0007;;120;1;2012;Czech Technical University in Prague;Praha;;;;;;;bez CD;;VOLNÁ;;;;;;;;;;
Building Ontology-Based Information Systems - I.;Křemen, Petr;;Doc.Th.;Katedra;;;DocT-2012-0008;;124;1;2012;Czech Technical University in Prague;Praha;;;;;;;bez CD;;VOLNÁ;;;;;;;;;;
Automated Analysis of Long-Term EEG Signals;Gerla, Václav;;Doc.Th.;Katedra;;;DocT-2012-0009;;154;1;2012;Czech Technical University in Prague;Praha;;;;;;;bez CD;;VOLNÁ;;;;;;;;;;
Algebraic Solutions to Absolute Pose Problems - I.;Bujňák, Martin;;Doc.Th.;Katedra;;;DocT-2012-0010;;123;1;2012;Czech Technical University in Prague;Praha;;;;;;;;;VOLNÁ;;;;;;;;;;
Ant-inspired Metaheuristics for Biomedical Data Mining;Burša, Miroslav;;Doc.Th.;Katedra;;;DocT-2012-0011;;147;1;2012;Czech Technical University in Prague;Praha;;;;;;;2012/2013;;VOLNÁ;;;;;;;;;;
Tracking with Context - I.;Cerman, Lukáš;;Doc.Th.;Katedra;;;DocT-2013-0001;;99;1;2013;Czech Technical University in Prague;Praha;;;;;;;s CD;;VOLNÁ;;;;;;;;;;
Probabilistic Matching in Search for Unrelated Hematopoietic Stem Cell Donors I.;Steiner, David;;Doc.Th.;Katedra;;;DocT-2013-0002;;145;1;2013;Czech Technical University in Prague;Praha;;;;;;;obhajoba 2014;;VOLNÁ;;;;;;;;;;
Prediction of DNA-Binding Propensity of Proteins Using Machine Learning;Szabóová, Andrea;;Doc.Th.;Katedra;;;DocT-2013-0003;;154;1;2013;Czech Technical University in Prague;Praha;;;;;;Protein-DNA, DNA, DNA-Binding;;;VOLNÁ;;;;;;;;;;
Multiagent Simulation of Air Space and Air Traffic Management;Volf, Přemysl;;Doc.Th.;Katedra;;;DocT-2013-0004;;103;1;2013;Czech Technical University in Prague;Praha;;;;;;;;;VOLNÁ;;;;;;;;;;
Multi-layer Data Model;Huptych, Michal;;Doc.Th.;Katedra;;;DocT-2013-0005;;110;1;2013;Czech Technical University in Prague;Praha;;;;;;;;;VOLNÁ;;;;;;;;;;
Independent Component Analysis: Applications in ECG Signal Processing - I.;Kužílek, Jakub;;Doc.Th.;Katedra;;;DocT-2013-0006;;115;1;2013;Czech Technical University in Prague;Praha;;;;;;;;;LHOTSKÁ, LENKA;22.05.2014 - 22.11.2014;;;;;;;;;
Fast Construction of Relational Features for Machine Learning;Kuželka Ondřej;;Doc.Th.;Katedra;;;DocT-2013-0007;;172;1;2013;Czech Technical University in Prague;Praha;;;;;;DNA, DNA-Binding;;;VOLNÁ;;;;;;;;;;
Domain-Independent Multiagent Plan Repair - I.;Komenda, Antonín;;Doc.Th.;Katedra;;;DocT-2013-0008;;120;1;2013;Czech Technical University in Prague;Praha;;;;;;;bez CD;;VOLNÁ;;;;;;;;;;
Computational Methods for Transportation Security - I.;Vaněk, Ondřej;;Doc.Th.;Katedra;;;DocT-2013-0009;;138;1;2013;Czech Technical University in Prague;Praha;;;;;;;bez CD;;VOLNÁ;;;;;;;;;;
Complex Approach to Fetal Heart Rate Analysis: A Hierarchical Classification Model - I.;Spilka, Jiří;;Doc.Th.;Katedra;;;DocT-2013-0010;;139;1;2013;Czech Technical University in Prague;Praha;;;;;;;bez CD;;VOLNÁ;;;;;;;;;;
Large-Scale Content-Base Sub-Image Search;Mikulík, Andrej;;Doc.Th.;Katedra;;;DocT-2014-0001;;85;1;2014;ČVUT Praha - FEL;ČR;;;;;;;;;VOLNÁ;;;;;;;;;;
Towards Automated Design of Complex Modular Systems Inspired by Nature;Vítků, Jaroslav;;Doc.Th.;Katedra;;;DocT-2014-0002;;170;1;2014;Czech Technical University in Prague;Praha;;;;;;;CD neni;;VOLNÁ;;;;;;;;;;
Processing and Statistical Analysis of Single-Neuron Recordings - I.;Sieger, Tomáš;;Doc.Th.;Katedra;;;DocT-2014-0003;;104;1;2014;Czech Technical University in Prague;Praha;;;;;;single neuron, recordings, spike sorting, parkinsons disease, deep brain stimulation, basal gangalia, subthalamic nucleus, automated data processing, interactive data expoloration, bootstrap, generalized linear models, spike train models;na rubu je rok 2013;;VOLNÁ;;;;;;;;;;
Monte Carlo Tree Search in Imperfect-Information Games I.;Lisý, Viliam;;Doc.Th.;Katedra;;;DocT-2014-0004;;131;1;2014;Czech Technical University in Prague;Praha;;;;;;;bez CD;;VOLNÁ;;;;;;;;;;
Linear Predictorsfor Real-time Object Tracking and Detection - I.;Hurych, David;;Doc.Th.;Katedra;;;DocT-2014-0005;;126;1;2014;Czech Technical University in Prague;Praha;;;;;;;bez CD;;VOLNÁ;;;;;;;;;;
Light Propagation in Transparent Polyhedra I.;Smutný, Vladimír;;Doc.Th.;Katedra;;;DocT-2014-0006;;126;1;2014;Czech Technical University in Prague;Praha;;;;;;;bez CD;;VOLNÁ;;;;;;;;;;
Large Scale Surface Reconstruction Based on Point Visibility;Jančošek, Michal;;Doc.Th.;Katedra;;;DocT-2014-0007;;139;1;2014;Czech Technical University in Prague;Praha;;;;;;;bez CD;;VOLNÁ;;;;;;;;;;
Iterative Algorithms for Solving Finite Sequential Zero-Sum Games I.;Bošanský, Branislav;;Doc.Th.;Katedra;;;DocT-2014-0008;;105;1;2014;Czech Technical University in Prague;Praha;;;;;;;bez CD;;VOLNÁ;;;;;;;;;;
Agent-Based Algorithms for the Vehicle Routing Problem with Time Windows;Kalina, Petr;;Doc.Th.;Katedra;;;DocT-2014-0009;;117;1;2014;Czech Technical University in Prague;Praha;;;;;;;;;VOLNÁ;;;;;;;;;;
Nonlinear Intensity Invariant Local Image Descriptors;Saleem, Sajid;;Doc.Th.;Katedra;;;DocT-2014-0010;;110;1;2014;ČVUT Praha - FEL;ČR;;;;;;;;;VOLNÁ;;;;;;;;;;
Template-Base Ontology Evolution;Blaško, Miroslav;;Doc.Th.;Katedra;;;DocT-2015-0001;;86;1;2015;ČVUT Praha - FEL;ČR;;;;;;;;;VOLNÁ;;;;;;;;;;
A Guided Approach to Sampling-Based Motion Planning;Vonásek, Vojtěch;;Doc.Th.;Katedra;;;DocT-2015-0002;;134;1;2015;ČVUT Praha - FEL;ČR;;;;;;;;;VOLNÁ;;;;;;;;;;
Probabilistic Models for Symmetric Object Detection in Images;Tyleček, Radim;;Doc.Th.;Katedra;;;DocT-2015-0003;;143;1;2015;ČVUT Praha - FEL;ČR;;;;;;;;;VOLNÁ;;;;;;;;;;
Global Optimization Techniques in Camera-Robot Calibration;Heller, Jan;;Doc.Th.;Katedra;;;DocT-2015-0004;;140;1;2015;ČVUT Praha - FEL;ČR;;;;;;;;;VOLNÁ;;;;;;;;;;
Spike Sorting of Microelectrode Single-channel Recordings Evaluation and Applications;Wild, Jiří;;Doc.Th.;Katedra;;;DocT-2015-0005;;88;1;2015;ČVUT Praha - FEL;ČR;;;;;;;;;VOLNÁ;;;;;;;;;;
Automated Nonlinear Analysis of Newborn Electroencephalographic Signal;Djordjevic, Vladana;;Doc.Th.;Katedra;;;DocT-2015-0006;;86;1;2015;ČVUT Praha - FEL;ČR;;;;;;;;;VOLNÁ;;;;;;;;;;
Invariant Image Representations for Object Category-Based Image Classification;Anwar, Hafeez;;Doc.Th.;Katedra;;;DocT-2015-0007;;109;1;2015;ČVUT Praha - FEL;ČR;;;;;;;;;VOLNÁ;;;;;;;;;;
Understading Formal Arrow-Connected Diagrams and Free-form Sketches;Bresler, Martin;;Doc.Th.;Katedra;;;DocT-2016-0001;;110;1;2016;ČVUT Praha - FEL;ČR;;;;;;;;;KNE218;;;;;;;;;;
OnGIS Ontology-Based Geospatial Data Integration and Retrieval;Šmíd, Marek;;Doc.Th.;Katedra;;;DocT-2016-0002;;108;1;2016;ČVUT Praha - FEL;ČR;;;;;;;;01.06.2017;KNE218;;;;;;;;;;
Design and Integration of Simulation Models for Industrial Systems;Novák, Petr;;Doc.Th.;Katedra;;;DocT-2016-0003;;148;1;2016;ČVUT Praha - FEL;ČR;;;;;;;;01.06.2017;KNE218;;;;;;;;;;
Discriminative Learning from Partially Annotated Examples;Antoniuk, Kostiantyn;;Doc.Th.;Katedra;;;DocT-2016-0004;;87;1;2016;ČVUT Praha - FEL;ČR;;;;;;;;01.06.2017;KNE218;;;;;;;;;;
